Level(in)	Volume(L)
1	1.2
2	4.8
3	11.0
4	18.2
5	25.5
6	32.9
7	40.2
8	47.6
9	54.9
10	62.3
11	69.6
12	77.0
13	84.3
14	91.7
15	99.0
16	106.4
17	113.7
18	121.1
19	128.4
20	135.8
21	143.1
22	150.5
23	157.7
24	163.9
25	167.4
26	168.7
